Name,Website,Specialty,Address,Suburb,Postcode,State
Bayside Orthopaedics,http://www.melbournehipsurgeon.com.au,Orthopaedic service,SUITE 2,CLAYTON,3168,VIC
"Dr Grant Booth, Orthopaedic Surgeon",www.perthshoulderclinic.com,Orthopaedic service,"Perth Shoulder Clinic, Bethesda Hospital",CLAREMONT,6010,WA
Ortho Plus - Bundoora,https://northparkprivatehospital.com.au/our-services/consulting-suites,Orthopaedic service; Radiology service,Consulting Suites - Northpark Private Hospital,BUNDOORA,3083,VIC
Priority Orthopaedics - Campbelltown,https://www.primaryorthopaedics.com.au/contact-us/,Orthopaedic service,Suite 215,CAMPBELLTOWN,2560,NSW
Sydney Bone & Joint Clinic - Campbelltown,https://drireland.com.au/,Orthopaedic service,Building B,CAMPBELLTOWN,2560,NSW
Eastern Eye Specialist,https://www.easterneyespecialists.com/,Ophthalmology,520 Mountain Highway,BAYSWATER,3153,VIC
Quality Cardiology - Berwick,www.qualitycardiology.com.au,Cardiology,Suite 105,NARRE WARREN,3805,VIC
Mr William Pianta - Orthopaedic Surgeon,http://williampianta.com.au/,Orthopaedic service,Get Set Physiotherapy,DONCASTER EAST,3109,VIC
Dr Tony Donald - Cardiology Rooms,https://www.penrithcardiology.com/our_team_page.html,Cardiology,32 Castlereagh Street,PENRITH,2750,NSW
Dr Cyrus Mehta,https://www.drmehta.com.au/,Orthopaedic service,90 URALBA STREET,LISMORE,2480,NSW
Kings Medical Imaging,https://kingsmedicalimging.com.au,Radiology service,Suite 2,GREENWAY,2900,ACT
Direct Radiology,https://www.directradiology.com.au/,Radiology service,Level 1,FAIRFIELD,3078,VIC
Osteoscan - Kurralta Park,http://www.osteoscan.com.au/,Radiology service,Tennyson Centre,KURRALTA PARK,5037,SA
Vascular investigations - Mornington,https://vascularinvestigations.com.au/,Radiology service,262 Main Street,MORNINGTON,3931,VIC
Vision Radiology Mornington,https://visionradiologycom.au,Radiology service,947 NEPEAN HIGHWAY,MORNINGTON,3931,VIC
Gold Coast Radiology - Hope Island,http://www.gcradiology.com.au,Radiology service,Suite 1-4,HOPE ISLAND,4212,QLD
MBR Health,https://wholebodymri.com.au/contact/,Radiology service,Ground Floor,MERMAID BEACH,4218,QLD
Central Victoria Integrated Clinic - Bendigo,www.cviclinic.com.au,Orthopaedic service,Level 2 Suite 5B,BENDIGO,3550,VIC
Hobart Eye Surgeons - Eastern Shore,www.eyesurgeons.com.au,Ophthalmology,11 Bayfield Street,ROSNY PARK,7018,TAS
Burwood Eye Clinic,http://www.burwoodeyeclinic.com.au/,Ophthalmology,36 Burwood Road,BURWOOD,2134,NSW
Sydney Eye Specialists - Burwood,http://www.sydneyeyespecialists.com.au/,Ophthalmology,21 Meryla Street,BURWOOD,2134,NSW
Strathfield Eye Surgery,https://www.strathfieldeyesurgery.com.au,Ophthalmology,Parnell House,STRATHFIELD,2135,NSW
Strathfield Retina Clinic,http://www.strathfieldretina.com.au,Ophthalmology,Redmyre House,STRATHFIELD,2135,NSW
Lane Cove Eye Surgery,https://lanecoveeye.com.au/,Ophthalmology,Level 3 Suite 304,LANE COVE,2066,NSW
North Shore Eye Centre,http://www.northshoreeye.com.au/,Ophthalmology,Level 1 Suite 5,ST LEONARDS,2065,NSW
Dr Edwina Eade - Oculoplastic Surgeon - Shore Eye Surgery,https://www.shoreeyesurgery.com.au/,Ophthalmology,North Shore Health Hub,ST LEONARDS,2065,NSW
iVision Clinic Inner West,www.ivisionclinic.com.au,Ophthalmology,11 Ninth Avenue,CAMPSIE,2194,NSW
Crows Nest Eye Surgery,http://www.crowsnesteye.com,Ophthalmology,Level 1,CROWS NEST,2065,NSW
The Cataract Clinic,http://www.thecataractclinic.com.au/,Ophthalmology,1 McLaren Street,NORTH SYDNEY,2060,NSW
Marrickville Eye Doctors,https://marrickvilleeyedoctors.com.au/,Ophthalmology,Shop 7,MARRICKVILLE,2204,NSW
Eastwood Eye Surgery,https://www.eastwoodeyesurgery.com.au/index.html,Ophthalmology,22 EAST PARADE,EASTWOOD,2122,NSW
Chatswood Eye Specialists,https://www.chatswoodeye.com/,Ophthalmology,Level 2,CHATSWOOD,2067,NSW
Lindfield Eye Care,https://lindfieldeyecare.com/,Ophthalmology,Suite 3,LINDFIELD,2070,NSW
Dr John Kennedy's Rooms,www.drjkennedy.com.au,Ophthalmology,St Vincents Clinic,DARLINGHURST,2010,NSW
Elizabeth Drive Medical Precinct,https://australisgroup.com.au/,Pathology,175A Elizabeth Drive,LIVERPOOL,2170,NSW
Surgery,www.oranamedicalpractice.com.au,Pathology,Shop 4,SEVEN HILLS,2147,NSW
Wentworthville Medical and Dental Centre,https://www.wentworthvillemedical.com.au/,Pathology; Radiology service,122-128 STATION STREET,WENTWORTHVILLE,2145,NSW
Pacific Medical and Dental Centre Blacktown,https://www.pacificmedicalcentre.com.au/,Pathology; Radiology service,23 FIRST AVENUE,BLACKTOWN,2148,NSW
Advance Medical Practice - Westmead,http://www.advancemedicalpractice.com.au/,Pathology,72 Hawkesbury Road,WESTMEAD,2145,NSW
Woodcroft Family Practice,http://www.woodcroftfamilypractice.com.au/,Pathology,Woodcroft Village Shopping Centre,WOODCROFT,2767,NSW
Agios Health,https://www.agioshealth.com.au/,Pathology; Cardiology; Neurology,SHOP 3,PARRAMATTA,2150,NSW
Next Practice Parramatta,https://parramatta.nextpracticehealth.com/,Pathology,14-16 Fennell Street,PARRAMATTA,2150,NSW
Berala Medical Clinic,https://www.beralamedical.com.au,Pathology,Shop 2,BERALA,2141,NSW
Ramona Street Medical Centre,http://ramonastreetmedical.com.au/,Pathology; Cardiology,42 Pearce Road,QUAKERS HILL,2763,NSW
Emerald Medical Centre Quakers Hill,http://www.emeraldmedicalcentre.com.au/,Pathology,206 FARNHAM ROAD,QUAKERS HILL,2763,NSW
Bankstown Medical & Dental Centre,https://www.forhealthbankstown.com.au/,Pathology,67 RICKARD ROAD,BANKSTOWN,2200,NSW
Familywise Medical Practice,https://familywisemed.com.au,Pathology,G04/5 CELEBRATION DRIVE,BELLA VISTA,2153,NSW
The Hills Medical and Dental Centre,https://www.thehillsmedicalcentre.com.au/,Pathology; Radiology service,3 COLUMBIA COURT,NORWEST,2153,NSW
Cardiology Australia,https://cardiologyaustralia.com/,Cardiology,8 Price Street,WETHERILL PARK,2164,NSW
